epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,308.701,1.79462,2.69414,1.80293,0.75481,0.17021,0.28792,0.14047,1.67758,3.19722,1.80819,0.000654545,0.000654545,0.000654545
2,591.877,1.8209,2.35267,1.78867,0.43336,0.33089,0.315,0.13393,1.95294,3.14361,2.04135,0.00130813,0.00130813,0.00130813
3,892.696,1.83264,2.27278,1.81806,0.05208,0.19858,0.026,0.00841,2.5653,8.96164,2.80831,0.00194852,0.00194852,0.00194852
4,1169.13,1.85151,2.21434,1.81064,0.37324,0.37589,0.31387,0.12665,2.07362,2.63329,2.03437,0.0019406,0.0019406,0.0019406
5,1444.67,1.86583,2.15581,1.80314,0.493,0.3617,0.38894,0.20604,1.72403,2.56026,1.79407,0.0019208,0.0019208,0.0019208
6,1720.06,1.81048,2.07272,1.7492,0.52879,0.42553,0.4354,0.22839,1.71708,2.37503,1.75968,0.001901,0.001901,0.001901
7,2001.34,1.76792,2.03153,1.72973,0.55291,0.49645,0.4854,0.23929,1.7818,2.07287,1.7107,0.0018812,0.0018812,0.0018812
8,2305.53,1.74714,2.02422,1.74668,0.50113,0.25532,0.26548,0.12032,2.00469,2.45782,2.00887,0.0018614,0.0018614,0.0018614
9,2605.4,1.73926,1.93218,1.70696,0.66093,0.33333,0.4093,0.2196,1.74836,2.23514,1.81653,0.0018416,0.0018416,0.0018416
10,2905.95,1.72247,1.9371,1.70893,0.59769,0.4539,0.49514,0.26089,1.59759,1.90717,1.72971,0.0018218,0.0018218,0.0018218
11,3209.65,1.66459,1.88193,1.65235,0.44193,0.32014,0.28987,0.14295,1.97514,2.58466,1.92217,0.001802,0.001802,0.001802
12,3510.2,1.6429,1.82696,1.65427,0.47309,0.38298,0.34597,0.15627,1.95725,2.60526,2.01952,0.0017822,0.0017822,0.0017822
13,3812.81,1.64284,1.83161,1.65166,0.53762,0.42553,0.43551,0.21731,1.73674,2.09259,1.8374,0.0017624,0.0017624,0.0017624
14,4113.2,1.65759,1.81445,1.64207,0.56246,0.51969,0.51396,0.26851,1.56693,1.83545,1.67851,0.0017426,0.0017426,0.0017426
15,4415.38,1.64895,1.77784,1.63765,0.4939,0.42912,0.39979,0.18688,1.80094,1.96187,1.78058,0.0017228,0.0017228,0.0017228
16,4810.58,1.64223,1.73095,1.6058,0.6868,0.47518,0.52932,0.28575,1.65098,1.79796,1.65445,0.001703,0.001703,0.001703
17,5230.9,1.57986,1.70802,1.59161,0.59955,0.48936,0.52333,0.32515,1.55436,1.62142,1.63272,0.0016832,0.0016832,0.0016832
18,5660.25,1.54486,1.6222,1.55123,0.61521,0.46099,0.48455,0.25385,1.67669,1.83616,1.63309,0.0016634,0.0016634,0.0016634
19,6078.93,1.55673,1.63327,1.56583,0.64469,0.52482,0.55286,0.28345,1.58297,1.7664,1.60502,0.0016436,0.0016436,0.0016436
20,6482.23,1.53337,1.59489,1.5564,0.58369,0.54691,0.53555,0.29956,1.63527,1.74284,1.63701,0.0016238,0.0016238,0.0016238
21,278.166,1.52577,1.55099,1.54095,0.58388,0.23404,0.2687,0.12267,1.91339,2.23998,1.86068,0.001604,0.001604,0.001604
22,550.39,1.50096,1.53784,1.50379,0.58461,0.30496,0.38199,0.19006,1.79096,2.02101,1.74377,0.0015842,0.0015842,0.0015842
23,824.932,1.49335,1.50745,1.50912,0.62144,0.46809,0.49125,0.2573,1.73881,1.8412,1.71563,0.0015644,0.0015644,0.0015644
24,1102.12,1.47738,1.4901,1.49555,0.50994,0.50355,0.46728,0.24493,1.64937,1.78771,1.68342,0.0015446,0.0015446,0.0015446
25,1374.32,1.49098,1.47526,1.49612,0.51049,0.48227,0.42919,0.25178,1.50958,1.78117,1.61124,0.0015248,0.0015248,0.0015248
26,1647.07,1.41407,1.39966,1.4516,0.72782,0.51773,0.60709,0.33281,1.62719,1.42546,1.64929,0.001505,0.001505,0.001505
27,1920.13,1.39378,1.36972,1.44681,0.65757,0.44681,0.49618,0.256,1.5844,1.6647,1.60999,0.0014852,0.0014852,0.0014852
28,2193.74,1.39727,1.3916,1.45266,0.64438,0.55319,0.53588,0.2735,1.69236,1.71239,1.67173,0.0014654,0.0014654,0.0014654
